classification;digit;code;OJI;OPI;OSI;CAI
isco88;4;2411;1;1;1;1
isco88;4;2412;1;2;1;2
isco88;4;2419;2;2;3;1
isco88;4;2421;2;1;4;1
isco88;4;2422;2;1;3;1
isco88;4;2429;1;1;1;1
isco88;4;2431;3;4;2;4
isco88;4;2432;2;3;1;3
isco88;4;2441;1;2;1;2
isco88;4;2442;3;3;3;4
isco88;4;2443;2;3;2;4
isco88;4;2444;1;1;1;2
isco88;4;2445;2;2;2;1
isco88;4;2446;4;4;4;4
isco88;4;2451;3;1;7;2
isco88;4;2452;3;4;4;7
isco88;4;2453;5;4;9;5
isco88;4;2455;5;5;8;5
isco88;4;2460;4;2;8;1
isco88;4;2470;2;1;2;1
isco88;4;3111;4;6;2;8
isco88;4;3112;3;4;1;5
isco88;4;3113;4;4;3;6
isco88;4;3114;4;4;5;6
isco88;4;3115;4;5;5;6
isco88;4;3117;5;5;5;7
isco88;4;3118;1;3;1;4
isco88;4;3119;3;4;3;6
isco88;4;3120;3;1;5;1
isco88;4;3121;3;1;4;1
isco88;4;3122;4;3;6;4
isco88;4;3131;5;4;7;3
isco88;4;3132;7;7;8;4
isco88;4;3133;10;8;10;4
isco88;4;3139;7;6;9;7
isco88;4;3141;7;7;8;6
isco88;4;3142;7;6;10;6
isco88;4;3143;8;5;10;5
isco88;4;3144;7;5;9;6
isco88;4;3151;6;5;8;7
isco88;4;3152;6;6;8;7
isco88;4;3211;5;5;5;7
isco88;4;3212;5;6;3;8
isco88;4;3213;4;4;4;7
isco88;4;3222;4;4;3;5
isco88;4;3223;4;5;4;6
isco88;4;3224;3;4;2;5
isco88;4;3226;5;5;3;4
isco88;4;3228;5;5;4;6
isco88;4;3229;3;4;1;4
isco88;4;3231;10;8;10;6
isco88;4;3232;8;7;9;4
isco88;4;3320;5;6;4;2
isco88;4;3330;7;6;8;5
isco88;4;3340;4;5;4;6
isco88;4;3411;3;3;4;2
isco88;4;3412;3;2;6;1
isco88;4;3413;3;3;4;2
isco88;4;3414;3;3;4;2
isco88;4;3415;3;3;5;3
isco88;4;3416;3;3;3;2
isco88;4;3417;3;3;4;2
isco88;4;3419;4;4;3;3
isco88;4;3421;3;3;4;2
isco88;4;3429;3;2;3;1
isco88;4;3431;1;2;1;2
isco88;4;3432;1;1;2;2
isco88;4;3433;1;1;2;1
isco88;4;3442;1;3;1;4
isco88;4;3443;1;2;2;2
isco88;4;3449;1;2;1;3
isco88;4;3450;5;4;9;7
isco88;4;3460;10;8;10;4
isco88;4;3471;4;4;4;6
isco88;4;3472;5;4;6;5
isco88;4;3474;5;5;5;5
isco88;4;3475;5;6;5;5
isco88;4;3480;5;4;6;4
isco88;4;4111;2;3;1;4
isco88;4;4113;2;2;2;4
isco88;4;4115;1;2;1;3
isco88;4;4121;1;1;1;1
isco88;4;4122;1;2;1;1
isco88;4;4131;6;7;5;7
isco88;4;4132;1;2;1;4
isco88;4;4133;4;4;6;4
isco88;4;4141;4;4;4;6
isco88;4;4142;6;7;4;5
isco88;4;4190;2;3;1;3
isco88;4;4211;6;5;10;5
isco88;4;4212;5;4;8;5
