classification;digit;code;OJI;OPI;OSI;HWI;CAI
isco08;4;1324;4;5;4;6;6
isco08;4;1330;3;1;8;1;1
isco08;4;1341;5;5;6;7;1
isco08;4;1342;4;4;8;5;1
isco08;4;1343;4;4;8;5;2
isco08;4;1344;3;3;7;4;2
isco08;4;1345;4;3;9;3;3
isco08;4;1346;3;1;7;1;1
isco08;4;1349;3;3;6;4;6
isco08;4;1411;4;4;8;5;6
isco08;4;1412;7;6;9;7;7
isco08;4;1420;5;5;7;7;2
isco08;4;1431;5;4;9;5;2
isco08;4;2111;2;3;2;3;3
isco08;4;2112;1;2;1;2;5
isco08;4;2113;3;4;2;2;6
isco08;4;2114;2;3;2;2;6
isco08;4;2120;1;1;1;1;1
isco08;4;2131;3;4;3;3;3
isco08;4;2132;2;1;3;1;3
isco08;4;2133;1;1;2;1;2
isco08;4;2141;2;2;2;1;4
isco08;4;2142;2;2;4;2;5
isco08;4;2143;1;3;1;3;6
isco08;4;2144;2;2;2;2;4
isco08;4;2145;4;4;2;4;7
isco08;4;2146;2;2;2;2;6
isco08;4;2149;2;3;2;2;4
isco08;4;2151;2;3;1;2;6
isco08;4;2152;2;2;1;3;4
isco08;4;2153;2;1;2;2;2
isco08;4;2161;2;1;2;2;5
isco08;4;2162;2;2;2;2;3
isco08;4;2163;3;3;3;2;6
isco08;4;2164;1;1;2;1;2
isco08;4;2165;1;2;1;4;4
isco08;4;2166;3;3;3;2;2
isco08;4;2211;6;5;9;5;5
isco08;4;2212;7;6;9;5;6
isco08;4;2221;7;5;9;8;4
isco08;4;2222;7;7;9;8;3
isco08;4;2230;5;5;7;5;5
isco08;4;2240;5;5;7;5;5
isco08;4;2250;6;7;8;9;8
isco08;4;2261;7;7;8;5;6
isco08;4;2262;4;4;8;4;6
isco08;4;2263;5;5;7;5;3
isco08;4;2264;6;7;3;8;1
isco08;4;2265;7;7;7;7;6
isco08;4;2266;5;6;6;6;3
isco08;4;2267;4;4;6;5;4
isco08;4;2269;4;4;6;5;2
isco08;4;2310;3;3;4;2;3
isco08;4;2320;4;4;6;4;4
isco08;4;2330;4;4;8;4;5
isco08;4;2341;5;5;7;4;5
isco08;4;2342;6;7;3;9;2
isco08;4;2351;4;4;6;3;4
isco08;4;2352;4;5;7;5;3
isco08;4;2353;4;4;6;4;5
isco08;4;2354;6;4;8;4;4
isco08;4;2355;;4;;4;6
isco08;4;2356;4;4;5;3;2
isco08;4;2359;4;4;6;3;4
isco08;4;2411;1;1;2;1;1
isco08;4;2412;1;1;1;1;1
isco08;4;2413;1;1;1;1;1
isco08;4;2421;4;4;6;4;4
isco08;4;2422;2;1;3;1;1
isco08;4;2423;1;1;2;1;1
isco08;4;2424;1;1;2;1;1
isco08;4;2431;3;1;4;3;2
isco08;4;2432;2;1;5;1;1
isco08;4;2433;3;2;6;2;2
isco08;4;2434;1;1;3;2;2
isco08;4;2511;3;1;5;1;1
isco08;4;2512;1;1;1;1;1
isco08;4;2513;2;2;3;1;1
isco08;4;2514;1;2;1;1;1
isco08;4;2519;1;1;2;1;1
isco08;4;2521;2;1;5;1;1
isco08;4;2522;3;1;7;4;2
isco08;4;2523;2;1;4;1;1
isco08;4;2611;3;3;4;1;3
isco08;4;2612;4;1;8;2;1
isco08;4;2619;2;1;3;1;1
isco08;4;2621;3;4;4;4;8
isco08;4;2622;2;3;2;5;5
isco08;4;2631;2;2;4;2;2
isco08;4;2632;3;3;6;3;4
isco08;4;2633;3;1;6;2;2
isco08;4;2634;2;2;4;1;2
isco08;4;2635;3;3;4;3;4
isco08;4;2636;4;3;7;4;2
isco08;4;2641;3;1;5;2;3
isco08;4;2642;3;1;4;1;1
isco08;4;2643;2;1;4;1;1
isco08;4;2651;3;4;7;3;2
isco08;4;2652;7;5;10;1;2
isco08;4;2654;4;3;8;4;1
isco08;4;2655;4;4;8;4;2
isco08;4;2659;4;3;8;4;2
isco08;4;3111;5;6;2;5;8
isco08;4;3112;6;6;6;5;8
isco08;4;3113;4;4;2;5;6
isco08;4;3114;7;7;7;5;8
isco08;4;3115;6;6;6;5;8
isco08;4;3116;6;7;5;6;8
isco08;4;3117;5;7;4;4;10
isco08;4;3118;2;2;1;1;3
isco08;4;3119;4;4;3;5;6
isco08;4;3121;6;6;7;5;8
isco08;4;3122;6;6;7;6;8
isco08;4;3123;7;8;6;7;8
isco08;4;3131;5;5;6;5;7
isco08;4;3132;6;7;3;6;9
isco08;4;3135;5;6;4;4;8
isco08;4;3141;4;5;3;5;8
isco08;4;3142;4;5;2;5;8
isco08;4;3143;4;6;2;5;8
isco08;4;3151;7;7;9;5;8
isco08;4;3153;8;6;10;4;7
isco08;4;3154;6;5;9;4;7
isco08;4;3211;7;7;9;9;3
isco08;4;3212;7;6;8;5;6
isco08;4;3213;5;5;6;5;7
isco08;4;3214;7;7;6;5;10
isco08;4;3221;10;8;10;10;6
isco08;4;3222;9;7;10;9;6
isco08;4;3240;7;7;8;9;7
isco08;4;3251;7;7;8;2;8
isco08;4;3252;4;4;5;5;5
isco08;4;3253;4;5;4;7;4
isco08;4;3254;4;5;3;4;6
isco08;4;3255;6;7;4;5;6
isco08;4;3256;4;4;4;4;5
isco08;4;3257;4;4;4;3;6
isco08;4;3258;10;9;10;10;7
isco08;4;3259;4;5;2;7;6
isco08;4;3311;1;1;1;1;1
isco08;4;3312;1;1;2;1;1
isco08;4;3313;2;2;2;1;1
isco08;4;3314;2;2;2;3;1
isco08;4;3315;1;1;2;1;1
isco08;4;3321;1;1;1;1;1
isco08;4;3322;3;3;4;4;2
isco08;4;3323;2;1;4;2;1
isco08;4;3324;2;1;3;2;1
isco08;4;3331;2;4;2;2;5
isco08;4;3332;3;3;5;3;1
isco08;4;3333;3;2;4;1;2
isco08;4;3334;3;3;4;3;2
isco08;4;3339;2;2;3;2;2
isco08;4;3341;3;3;6;3;3
isco08;4;3342;2;3;1;3;4
isco08;4;3343;1;2;1;2;3
isco08;4;3344;3;3;3;2;4
isco08;4;3351;2;3;3;4;6
isco08;4;3352;1;1;2;4;4
isco08;4;3353;2;2;2;1;2
isco08;4;3354;2;3;3;1;2
isco08;4;3355;5;4;10;5;6
isco08;4;3359;1;1;2;2;4
isco08;4;3411;4;4;6;4;1
isco08;4;3412;6;6;5;8;2
isco08;4;3413;5;4;7;5;4
isco08;4;3421;5;6;5;5;4
isco08;4;3422;4;5;4;5;3
isco08;4;3423;5;5;7;4;4
isco08;4;3431;7;6;8;6;7
isco08;4;3432;5;6;6;6;7
isco08;4;3433;5;5;7;5;7
isco08;4;3434;8;7;8;9;9
isco08;4;3435;7;5;9;6;6
isco08;4;3511;3;4;3;5;4
isco08;4;3512;3;2;3;3;1
isco08;4;3513;4;5;5;4;6
isco08;4;3514;4;4;4;4;4
isco08;4;3521;6;5;8;5;6
isco08;4;3522;4;5;5;5;6
isco08;4;4110;2;3;3;3;3
isco08;4;4120;1;2;1;3;3
isco08;4;4131;3;4;2;1;5
isco08;4;4132;4;4;5;4;6
isco08;4;4211;2;3;1;3;2
isco08;4;4212;6;5;8;1;6
isco08;4;4214;4;4;5;2;4
isco08;4;4221;3;4;6;4;4
isco08;4;4222;4;3;9;1;2
isco08;4;4223;4;4;8;3;5
isco08;4;4224;5;4;9;5;4
isco08;4;4227;7;5;10;2;5
isco08;4;4229;4;4;7;2;4
isco08;4;4311;1;1;1;2;2
isco08;4;4312;2;2;2;1;2
isco08;4;4313;3;4;2;3;6
isco08;4;4321;6;7;5;9;7
isco08;4;4322;1;1;2;2;1
isco08;4;4323;4;4;7;4;4
isco08;4;4411;2;3;1;5;6
isco08;4;4412;8;8;8;10;6
